BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
2,others,0.723,6200.0,1166.0,,Unfurnished,,Available,2,,,Bangalore
3,Jakkur,1.26,8485.0,1485.0,,Unfurnished,,May be not,3,,,Bangalore
2,others,1.07,10000.0,1075.0,5,Unfurnished,,May be not,2,,,Bangalore
2,Sarjapura,0.821,6900.0,1190.0,2,Unfurnished,East,Available,2,2,Main Road,Bangalore
3,JP Nagar,2.20,11914.0,1850.0,,Semi-Furnished,,Available,3,,,Bangalore
2,others,0.825,6634.0,1244.0,8,Unfurnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
3,JP Nagar,1.15,8745.0,1315.0,3,Unfurnished,East,Available,2,1,Main Road,Bangalore
4,Jakkur,2.85,10182.0,2799.0,3,Unfurnished,East,Available,4,3,"Garden/Park, Pool",Bangalore
3,Panathur,1.46,9200.0,1587.0,10,Unfurnished,East,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
2,Yelahanka,0.73,6848.0,1066.0,9,Unfurnished,East,Available,2,1,"Garden/Park, Pool",Bangalore
3,Panathur,2.58,16005.0,1612.0,,Unfurnished,,Available,3,,,Bangalore
3,others,1.84,10601.0,1736.0,10,Unfurnished,East,Available,3,3,"Garden/Park, Pool, Main Road",Bangalore
3,Panathur,2.70,10843.0,2490.0,,Unfurnished,,Available,3,,,Bangalore
3,Gunjur,1.60,9524.0,1680.0,7,Unfurnished,East,Available,2,2,"Pool, Garden/Park, Main Road",Bangalore
3,Whitefield,2.75,14016.0,1962.0,5,Unfurnished,East,Available,3,3,Garden/Park,Bangalore
2,Gunjur,1.31,10500.0,1248.0,5,Unfurnished,North,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
3,others,0.496,4000.0,1240.0,3,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
3,Sarjapur Road,1.53,9527.0,1606.0,10+,Semi-Furnished,East,Available,3,1,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.09,7962.0,1369.0,9,Unfurnished,North,Available,2,1,Garden/Park,Bangalore
2,others,1.10,11000.0,1000.0,9,Unfurnished,East,May be not,2,1,"Pool, Garden/Park, Main Road",Bangalore
3,Thanisandra,1.21,8996.0,1345.0,10,Unfurnished,East,Available,3,3,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.68,6800.0,2471.0,2,Unfurnished,East,Available,3,1,"Garden/Park, Pool, Main Road",Bangalore
3,Panathur,1.84,11500.0,1600.0,7,Unfurnished,East,Available,3,3,,Bangalore
3,others,1.52,7847.0,1937.0,10,Unfurnished,East,Available,3,2,"Garden/Park, Main Road",Bangalore
3,others,1.19,9500.0,1254.0,10+,Unfurnished,North,Available,3,3,Main Road,Bangalore
3,others,1.11,8665.0,1281.0,6,Unfurnished,East,Available,2,1,"Garden/Park, Pool",Bangalore
4,Sarjapura,2.92,8400.0,3485.0,2,Unfurnished,East,Available,4,3,Main Road,Bangalore
4,others,6.50,30093.0,2160.0,10+,Unfurnished,East,Available,4,4,Main Road,Bangalore
3,JP Nagar,1.20,10118.0,1186.0,6,Unfurnished,North,May be not,2,1,"Pool, Garden/Park, Main Road",Bangalore
3,Whitefield,2.45,12800.0,1915.0,4,Furnished,East,Available,2,3,"Garden/Park, Main Road",Bangalore
4,others,3.45,13906.0,2481.0,7,Unfurnished,East,Available,4+,2,Garden/Park,Bangalore
3,Whitefield,2.54,14000.0,1818.0,4,Unfurnished,East,Available,3,,"Garden/Park, Pool, Main Road",Bangalore
4,Whitefield,3.29,12576.0,2616.0,10+,Unfurnished,East,Available,4,2,"Garden/Park, Pool",Bangalore
1,Panathur,0.815,12352.0,660.0,6,Unfurnished,North - East,Available,1,1,"Garden/Park, Pool, Main Road",Bangalore
3,Gunjur,1.74,10875.0,1600.0,8,Unfurnished,East,Available,3,2,Main Road,Bangalore
3,others,2,13966.0,1432.0,10+,Unfurnished,East,Available,2,2,"Garden/Park, Pool, Main Road",Bangalore
4,Whitefield,3.30,12615.0,2616.0,10+,Unfurnished,North - West,Available,4+,2,Main Road,Bangalore
3,Panathur,2.30,14277.0,1611.0,10+,Unfurnished,East,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
3,Gunjur,1.57,10495.0,1496.0,10+,Semi-Furnished,East,Available,2,2,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.69,11785.0,1434.0,10+,Unfurnished,East,Available,3,1,"Garden/Park, Pool, Main Road",Bangalore
3,Sarjapur Road,1.52,9560.0,1590.0,6,Semi-Furnished,East,Available,3,1,"Garden/Park, Pool, Main Road",Bangalore
3,Panathur,2.30,13939.0,1650.0,5,Semi-Furnished,East,Available,3,1,"Garden/Park, Pool",Bangalore
2,others,1.12,9492.0,1180.0,10,Unfurnished,North,Available,2,2,Garden/Park,Bangalore
3,Panathur,2.58,13473.0,1915.0,10,Unfurnished,North,Available,3,1,"Garden/Park, Pool",Bangalore
3,others,2.70,14099.0,1915.0,10+,Unfurnished,North,Available,3,3,"Pool, Garden/Park, Main Road",Bangalore
4,Whitefield,5.74,16201.0,3543.0,10+,Unfurnished,East,Available,4+,4,"Garden/Park, Pool",Bangalore
2,Yelahanka,0.71,7709.0,921.0,7,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
2,Thanisandra Main Road,1.10,9167.0,1200.0,10,Semi-Furnished,East,Available,2,1,"Garden/Park, Pool",Bangalore
2,Gunjur,1.28,9517.0,1345.0,6,Unfurnished,East,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
1,Thanisandra Main Road,0.873,9000.0,970.0,4,Unfurnished,East,Available,1,1,"Garden/Park, Main Road",Bangalore
3,Gunjur,1.80,9045.0,1990.0,10+,Unfurnished,North,Available,3,1,"Pool, Garden/Park, Main Road",Bangalore
3,others,2.15,15109.0,1423.0,10,Unfurnished,West,Available,3,1,"Garden/Park, Main Road",Bangalore
3,Panathur,2.50,13055.0,1915.0,6,Unfurnished,East,Available,3,1,Garden/Park,Bangalore
3,Whitefield,2.50,13751.0,1818.0,10,Semi-Furnished,East,Available,3,1,Garden/Park,Bangalore
3,Sarjapur Road,1.45,6817.0,2127.0,6,Unfurnished,West,Available,3,3,Garden/Park,Bangalore
3,others,2.80,13896.0,2015.0,10,Semi-Furnished,East,Available,3,2,Main Road,Bangalore
2,others,0.83,8655.0,959.0,3,Unfurnished,East,May be not,2,1,,Bangalore
3,others,1.75,10011.0,1748.0,8,Unfurnished,North - East,Available,3,2,"Garden/Park, Pool, Main Road",Bangalore
3,others,1.23,8589.0,1432.0,8,Unfurnished,West,Available,3,1,,Bangalore
2,others,1,9662.0,1035.0,1,Unfurnished,East,Available,2,1,Garden/Park,Bangalore
4,others,2.20,7852.0,2802.0,10,Unfurnished,East,Available,4,2,,Bangalore
4,Thanisandra,1.89,10000.0,1890.0,6,Unfurnished,East,Available,4,4,"Garden/Park, Pool",Bangalore
4,Jakkur,2.62,9360.0,2799.0,6,Unfurnished,East,Available,4,2,Main Road,Bangalore
4,Sarjapura,2.27,7257.0,3128.0,5,Unfurnished,North,Available,4,4,Garden/Park,Bangalore
3,others,1.14,8899.0,1281.0,8,Unfurnished,North,Available,2,1,"Garden/Park, Pool, Main Road",Bangalore
4,others,8.13,23248.0,3497.0,3,Unfurnished,East,Available,3,2,"Garden/Park, Main Road",Bangalore
3,others,5.50,28917.0,1902.0,10+,Unfurnished,East,Available,3,1,Garden/Park,Bangalore
3,Yelahanka,1.22,7726.0,1579.0,4,Unfurnished,East,Available,3,1,"Garden/Park, Pool",Bangalore
